球队 关系 球员
菲尼克斯太阳队 现役球员 泰森-钱德勒
菲尼克斯太阳队 现役球员 达文-里德
菲尼克斯太阳队 现役球员 以赛亚-卡南
菲尼克斯太阳队 现役球员 达雷尔-亚瑟
菲尼克斯太阳队 现役球员 莱恩-安德森
菲尼克斯太阳队 现役球员 特雷沃-阿里扎
菲尼克斯太阳队 现役球员 沙奎尔-哈里森
菲尼克斯太阳队 现役球员 丹东尼-梅尔顿
菲尼克斯太阳队 现役球员 埃利-奥科博
菲尼克斯太阳队 现役球员 德安德烈-艾顿
菲尼克斯太阳队 现役球员 米卡尔-布里奇斯
菲尼克斯太阳队 现役球员 乔治-金
菲尼克斯太阳队 现役球员 贾马尔-克劳福德
萨克拉门托国王队 现役球员 伊曼-香珀特
萨克拉门托国王队 现役球员 本-麦克勒摩
萨克拉门托国王队 现役球员 贾斯廷-杰克逊
萨克拉门托国王队 现役球员 威利-考利-斯坦
萨克拉门托国王队 现役球员 哈里-贾尔斯
萨克拉门托国王队 现役球员 巴迪-希尔德
萨克拉门托国王队 现役球员 科斯塔-库佛斯
萨克拉门托国王队 现役球员 斯卡尔-拉比西埃
萨克拉门托国王队 现役球员 弗兰克-梅森
萨克拉门托国王队 现役球员 博格丹-博格丹诺维奇
萨克拉门托国王队 现役球员 达龙-福克斯
萨克拉门托国王队 现役球员 扎克-兰多夫
萨克拉门托国王队 现役球员 约吉-费雷尔
萨克拉门托国王队 现役球员 贾米尔-阿尔蒂斯
萨克拉门托国王队 现役球员 特洛伊-威廉姆斯
萨克拉门托国王队 现役球员 内马尼亚-别利察
萨克拉门托国王队 现役球员 文言-加布里埃尔
萨克拉门托国王队 现役球员 马文-巴格利
萨克拉门托国王队 现役球员 卡梅伦-雷诺兹
萨克拉门托国王队 现役球员 加比-文森特
费城76人队 现役球员 达里奥-沙里奇
费城76人队 现役球员 本-西蒙斯
费城76人队 现役球员 罗伯特-科温顿
费城76人队 现役球员 马克尔-富尔茨
费城76人队 现役球员 阿米尔-约翰逊
费城76人队 现役球员 乔尔-恩比德
费城76人队 现役球员 JJ-雷迪克
费城76人队 现役球员 TJ-麦康奈尔
费城76人队 现役球员 富尔坎-科尔克马兹
费城76人队 现役球员 杰里-贝勒斯
费城76人队 现役球员 埃梅卡-奥卡福
费城76人队 现役球员 迈克-穆斯卡拉
费城76人队 现役球员 威尔森-钱德勒
费城76人队 现役球员 迪米特里厄斯-杰克逊
费城76人队 现役球员 安东尼-布朗
费城76人队 现役球员 乔纳-博尔登
费城76人队 现役球员 扎伊尔-史密斯
费城76人队 现役球员 兰德里-沙梅特
费城76人队 现役球员 谢克-密尔顿
费城76人队 现役球员 诺维尔-佩尔
费城76人队 现役球员 DJ-霍格
费城76人队 现役球员 科里-杰佛森
费城76人队 现役球员 达林-约翰逊
达拉斯独行侠队 现役球员 德安德烈-乔丹
达拉斯独行侠队 现役球员 萨拉赫-梅杰里
达拉斯独行侠队 现役球员 德文-哈里斯
达拉斯独行侠队 现役球员 多里安-芬尼-史密斯
达拉斯独行侠队 现役球员 韦斯利-马修斯
达拉斯独行侠队 现役球员 丹尼斯-史密斯
达拉斯独行侠队 现役球员 德怀特-鲍威尔
达拉斯独行侠队 现役球员 德克-诺维茨基
达拉斯独行侠队 现役球员 何塞-巴里亚
达拉斯独行侠队 现役球员 哈里森-巴恩斯
达拉斯独行侠队 现役球员 马克西-克勒贝尔
达拉斯独行侠队 现役球员 阿隆-哈里森
达拉斯独行侠队 现役球员 科迪
达拉斯独行侠队 现役球员 丁彦雨航
达拉斯独行侠队 现役球员 雷-斯波尔丁
达拉斯独行侠队 现役球员 杰伦-布伦森
达拉斯独行侠队 现役球员 瑞安-布鲁克霍夫
达拉斯独行侠队 现役球员 科斯塔斯-阿特托昆博
达拉斯独行侠队 现役球员 卢卡-东契奇
达拉斯独行侠队 现役球员 达丽尔-麦肯
达拉斯独行侠队 现役球员 杰伦-琼斯
达拉斯独行侠队 现役球员 丹特-英格拉姆
达拉斯独行侠队 现役球员 拉沙德-沃恩
迈阿密热火队 现役球员 小德里克-琼斯
迈阿密热火队 现役球员 布里安特-韦伯
迈阿密热火队 现役球员 德维恩-韦德
迈阿密热火队 现役球员 贾斯蒂斯-温斯洛
迈阿密热火队 现役球员 埃德里斯-阿德巴约
迈阿密热火队 现役球员 迪昂-维特斯
迈阿密热火队 现役球员 詹姆斯-约翰逊
迈阿密热火队 现役球员 哈桑-怀特塞德
迈阿密热火队 现役球员 韦恩-艾灵顿
迈阿密热火队 现役球员 泰勒-约翰逊
迈阿密热火队 现役球员 凯利-奥利尼克
迈阿密热火队 现役球员 罗德尼-麦格鲁德
迈阿密热火队 现役球员 犹多尼斯-哈斯勒姆
迈阿密热火队 现役球员 约什-理查德森
迈阿密热火队 现役球员 戈兰-德拉季奇
迈阿密热火队 现役球员 邓肯-鲁宾逊
迈阿密热火队 现役球员 延特-马丁
迈阿密热火队 现役球员 马库斯-李
迈阿密热火队 现役球员 贾内尔-斯托克斯
迈阿密热火队 现役球员 马利克-纽曼
迈阿密热火队 现役球员 德安德烈-利金斯
迈阿密热火队 现役球员 查尔斯-库克
迈阿密热火队 现役球员 拉菲尔-普特尼
迈阿密热火队 现役球员 罗德尼-普维斯
金州勇士队 现役球员 帕特里克-麦考
金州勇士队 现役球员 乔丹-贝尔
金州勇士队 现役球员 达米安-琼斯
金州勇士队 现役球员 克莱-汤普森
金州勇士队 现役球员 凯文-杜兰特
金州勇士队 现役球员 德雷蒙德-格林
金州勇士队 现役球员 肖恩-利文斯顿
金州勇士队 现役球员 斯蒂芬-库里
金州勇士队 现役球员 安德烈-伊戈达拉
金州勇士队 现役球员 凯文-卢尼
金州勇士队 现役球员 德马库斯-考辛斯
金州勇士队 现役球员 泰勒-尤利斯
金州勇士队 现役球员 奎因-库克
金州勇士队 现役球员 约纳斯-杰雷布科
金州勇士队 现役球员 丹尼尔-豪斯
金州勇士队 现役球员 达米恩-李
金州勇士队 现役球员 雅各布-埃文斯
金州勇士队 现役球员 马库斯-德里克森
金州勇士队 现役球员 威尔-谢里
金州勇士队 现役球员 阿方索-麦金尼
金州勇士队 现役球员 肯德里克-努恩
金州勇士队 现役球员 德扬泰-戴维斯
